Ecoregion,ABDU,AGWT,ALFL,ALFL_CORE,AllWaterfowl,AMCR,AMCR_CORE,AMGO,AMGO_CORE,AMPI,AMPI_CORE,AMRE,AMRE_CORE,AMRO,AMRO_CORE,AMWI,ATSP,ATSP_CORE,BAWW,BAWW_CORE,BBWA,BBWA_CORE,BCCH,BCCH_CORE,BHCO_CORE,BHVI,BHVI_CORE,BLBW,BLBW_CORE,BLJA,BLJA_CORE,BLPW,BLPW_CORE,BOCH,BOCH_CORE,BRBL,BRBL_CORE,BRCR,BRCR_CORE,BRTH,BTBW,BTNW,BTNW_CORE,BUFF,BWTE,CANV,CavityNesters,CAWA,CAWA_CORE,CCSP_CORE,CEDW,CEDW_CORE,CHSP,CHSP_CORE,CMI,CMWA,CMWA_CORE,COGR_CORE,CONW,CONW_CORE,CORA,CORA_CORE,CORE,CORE_CORE,COYE,COYE_CORE,CSWA,CSWA_CORE,DEJU,DEJU_CORE,EABL,EAKI,EAKI_CORE,EAPH_CORE,EATO,EVGR,EVGR_CORE,FISP,FOSP,FOSP_CORE,GADW,GCKI,GCKI_CORE,GCTH,GCTH_CORE,GGOL,GMER,GPP,GRAJ,GRAJ_CORE,GroundNesters,GSCA,GSCO,HAFL,HETH,HETH_CORE,HOLA,HOLA_CORE,INBU,LCC,LCSP,LCSP_CORE,LED,LEFL,LEFL_CORE,LISP,LISP_CORE,MALL,MAWA,MAWA_CORE,MOWA,MOWA_CORE,NAWA,NAWA_CORE,NOPI,NOWA,NOWA_CORE,NSHO,OCWA,OCWA_CORE,OSFL,OSFL_CORE,OVEN,OVEN_CORE,OverwaterNesters,PAWA,PAWA_CORE,PHVI,PHVI_CORE,PIGR,PIGR_CORE,PISI,PISI_CORE,PUFI,PUFI_CORE,RBGR,RBGR_CORE,RBNU,RBNU_CORE,RCKI,RCKI_CORE,REDH,REVI,REVI_CORE,RNDU,RUBL,RUBL_CORE,RUDU,RWBL,RWBL_CORE,SAVS,SAVS_CORE,SCTA,SEWR,SOSP,SOSP_CORE,SWSP,SWSP_CORE,SWTH,SWTH_CORE,TEWA,TEWA_CORE,TOWA,TRES,TRES_CORE,VATH,VATH_CORE,VEER,VESP,VESP_CORE,WAVI,WAVI_CORE,WBNU,WCSP_CORE,WETA,WETA_CORE,WEWP,WEWP_CORE,WIWA,WIWA_CORE,WIWR,WIWR_CORE,WOTH,WTSP,WTSP_CORE,WWCR,WWCR_CORE,YBFL,YBFL_CORE,YRWA,YRWA_CORE,YWAR,YWAR_CORE,ForestBirds,ForestBirdsCore
64,1.032,1.671,0.746,0.184,1.133,0.967,0.569,0.979,0.863,0.987,0,0.965,0.496,0.916,0,1.426,0.852,0,1.013,0.837,1.48,2.039,1.031,0,1.049,1.013,0.596,0.936,0,1.018,0,0.568,0.328,1.208,2.001,0.977,1.162,0.994,0.846,0.983,1.021,0.8,0,1.585,1.716,1.001,1.213,1.095,1.66,1.146,1.05,0.635,0.774,1.002,0.111,1.438,1.475,0,1.075,1.801,0.986,1.102,0.401,0,1.012,0.141,0.901,0,0.856,0.322,0.988,1.037,2.372,0,1.006,1.199,1.079,0.999,0.729,0.159,1.348,0.928,0,0.769,0,0.622,0.516,0.436,1.095,1.066,1.238,0.698,0.2,0.997,0.775,0.287,0.999,1.548,0.906,0.338,1.14,1.042,0.355,1.05,1.29,0.803,0.444,1.266,1.018,0.126,0.859,0,0.921,0,0.612,0.73,0.113,1.162,0.703,0.224,0.94,0.694,1.24,1.882,0.809,0.643,0.936,0.883,0.036,0.954,0,1.105,1.514,1.009,0,0.969,1.475,1.185,1.476,0.945,0.276,1.362,1.189,1.766,1.231,0.782,0.699,1.208,1.042,1.3,1.008,0,0.998,1.013,0.962,0.596,0.525,0.002,1.003,1.026,1.11,1.006,0.962,0.832,0.085,0.686,0,0.973,0.853,1.405,1.042,0.232,1.005,0,1.302,1.007,0.954,1.052,0.781,0,0.975,0,1.001,0.867,0.015,0.902,1.021,1.009,0,0.981,1.288,0.89,0.054,0.964,0.673
65,0.996,1.052,0.92,1.032,0.954,1.053,4.912,1.033,6.996,0.849,0.004,0.801,0.127,1.031,3.185,1.304,0.618,0,0.765,0.095,0.303,0.077,0.897,0,1.052,0.735,0.065,0.704,0,0.921,0,1.273,0.933,1.049,0.229,0.933,0.741,0.906,0,1.003,0.973,0.79,0,1.075,0.916,0.75,0.859,0.598,0.091,0.857,0.932,0,0.897,1.04,0.107,0.643,0.198,NaN,0.342,0.117,1.026,1.165,0.703,0.352,0.98,0,0.805,0,0.997,0.857,1.009,1.061,2.41,1.988,1,0.926,0,1,1.343,1.621,0.978,0.936,0,0.508,0.02,0.534,0.565,0.275,1.079,1.006,1.011,1.078,0.614,0.999,0.929,0.793,1.027,4.82,0.946,0.382,0.919,1.024,0.248,0.715,0.479,1.102,1.186,0.9,0.61,0.001,0.561,0,0.779,0,0.947,1.159,1.476,0.996,1.271,1.323,1.096,1.168,0.392,0.204,0.951,0.725,0.826,0.815,0,1.107,0.885,0.815,0.003,0.969,0,0.631,0.02,0.841,0,1.113,1.816,0.884,0.522,0.055,0.789,1.096,1.078,0.951,1.116,2.629,1.039,0.575,0.996,1.023,1.028,5.295,0.948,0.058,0.995,0.924,0.839,1.009,1.05,1.011,2.481,1.194,0,0.946,1.003,0.79,0.98,0,0.992,0.663,0.739,1.039,1.009,1.088,1.243,1.749,0.856,0,1,0.923,0.285,0.95,1.073,0.905,0,0.876,0.581,1.149,3.046,0.865,0.468
88,0.9,1.139,0.613,0,1.365,1.045,0.724,1.082,0,0.986,NaN,1.13,0.117,0.932,0,0.936,0.629,NaN,1.581,2.639,3.846,1.994,1.25,0.433,0.109,1.563,1.408,1.566,3.167,1.402,2.975,0.136,0,1.266,3.581,1.01,NaN,1.508,1.663,0.992,1.056,1.278,0.096,1.699,1.326,1.018,1.649,2.648,2.821,0,1.145,1.338,1.112,1.034,0.845,4.557,1.827,0,3.015,2.373,0.939,1.061,0.214,0,1.13,0,1.441,1.328,0.48,0,0.997,1.006,0,0.358,1.003,1.807,4.268,1,0.146,0,1.022,1.452,6.073,0.48,0,2.447,1.158,0.352,1.011,1.055,1.229,0.915,0.158,0.942,0.7,0.92,1,0,1.035,0.402,1.251,2.347,0.176,1.364,1.303,0.521,0,1.677,1.312,1.537,1.972,4.622,1.389,0,0.918,0.399,0,1.125,0.33,0,0.629,0,2.134,1.703,1.06,0.685,0.897,1.166,0.186,0.714,0,2.547,2.701,1.08,NaN,2.053,3.15,2.31,3.363,1.003,1.034,1.053,2.043,2.22,2.045,0.369,0,1.131,1.007,0.082,0.832,0,0.996,1.094,1.149,0.703,0.568,0.009,1.187,1.826,1.916,1.034,0.92,0.927,0.357,0.456,0,1.173,0.999,NaN,1.08,NaN,1.04,0,1.376,1.329,0.96,0,0.348,0,1.711,11.706,1.002,0.939,1.031,0.62,0.245,0.621,0.37,1.402,1.014,0.77,0.075,1.324,1.559
90,1.284,0.916,1.079,1.774,1.056,1.08,1.274,1.05,1.269,1,NaN,1.206,1.513,0.963,0.014,0.733,0.988,NaN,1.191,1,0.996,1.026,1.211,1.121,0.048,1.361,1.001,1.755,1.13,1.269,1.216,0.93,NaN,0.926,0.544,0.98,0,1.245,1.001,0.989,2.191,1.485,1.386,1.044,0.681,0.666,1.22,1.296,1.012,0,1.229,1,0.818,0.872,0.451,0.722,1.004,1.681,1.077,1.042,0.951,1,0.99,NaN,1.079,1.099,1.314,1.344,0.796,0,1.038,0.981,1.039,1.296,0.986,1.112,1.113,1,0.727,NaN,0.852,1.418,1.037,0.986,NaN,1.201,1.296,0.236,0.77,0.371,0.913,0.716,0.791,0.949,1.066,1.026,0.999,0.067,1.064,0.178,0.928,0.237,0.167,1.056,1,0.854,0.046,0.966,1.187,1.007,1.454,1.035,1.98,1.307,0.828,0.781,0,0.703,0.629,NaN,0.906,0,1.015,1,0.952,0.6,0.85,1.835,1.194,0.953,NaN,0.898,0.66,1.279,1.52,0.777,1.201,1.089,1,1.047,1.078,0.729,1.131,1,1.151,0.815,NaN,0.837,0.966,1.04,0.979,0,1.209,0.86,1.104,1.282,0.988,1.006,0.887,0.596,0.632,0.858,0.982,1.029,1.471,0.98,NaN,1.342,0.955,0,0.914,0,0.999,NaN,0.552,0,0.808,NaN,0.913,NaN,1.428,1.076,0.953,1.14,1,0.861,0.267,1.352,1.248,0.887,1.016,0.868,0.611,1.068,0.918
91,1.256,1.034,1.12,1.571,1.008,0.88,1.002,0.828,1.002,1,NaN,0.926,1.002,0.953,0.555,0.766,1,NaN,1.117,1.002,1.234,1.405,1.047,1.002,0.556,1.305,1.147,1.203,1.002,0.984,1.002,0.992,NaN,1.035,NaN,0.821,0,1.087,1.125,0.927,1.44,1.06,1.002,1.083,0.397,0.451,1.305,1.079,1.002,0,1.057,1.002,0.949,0.728,0.325,1.042,1.02,1.002,0.757,0.858,0.901,1.002,1,NaN,0.81,1.002,0.983,1.002,1.099,NaN,0.981,0.892,1.001,1.002,0.968,1.017,1.002,1.003,1.05,NaN,0.542,1.289,1.328,1,NaN,1.291,1.351,0.14,1.093,NaN,0.825,0.886,1.114,0.979,1.183,1.429,0.939,0.166,1.065,0.115,0.577,0.344,0.213,0.932,1.002,1.159,NaN,0.831,1.29,1.393,1.062,1.002,1.15,1.002,0.648,1.055,NaN,0.301,0.907,NaN,1.024,NaN,1.015,1.002,0.978,1.156,NaN,1.204,1.612,0.994,NaN,0.985,0.877,1.152,1.037,0.666,1.002,1.063,1.027,1.202,NaN,0.445,0.974,1.002,1.213,1,NaN,0.5,0.679,0.988,0.767,0.041,1.158,0.563,0.858,1.002,0.965,1.001,1.202,NaN,1.067,1.635,0.989,0.98,0.935,0.995,NaN,1.042,0.777,0,0.854,0.013,0.982,NaN,0.743,NaN,0.895,NaN,1.022,NaN,1.296,1.312,0.965,1.162,1.032,1.124,NaN,1.43,1.472,1.164,1.635,0.824,0.662,1.066,1.133
93,0.987,1.006,1.016,1.315,0.947,0.97,0.999,0.915,0.99,1,NaN,1.032,0.999,1.023,1.384,0.996,1,NaN,0.964,0.999,1.062,1.115,0.99,0.999,1.422,1.009,0.999,0.958,0.999,0.918,0.999,1.005,NaN,1.052,NaN,1,NaN,0.994,0.954,0.972,1.157,1.016,0.999,0.924,1.013,1.014,0.91,1.006,0.999,NaN,0.991,0.999,0.99,1.098,0.128,1.021,1.028,0.998,0.97,0.974,0.996,0.972,1,NaN,0.955,0.999,0.94,0.999,1.039,NaN,0.94,0.975,0.851,0.986,0.988,1.014,0.999,1.006,1.021,NaN,1.009,1.014,0.999,1,NaN,0.932,0.886,0.015,1.032,NaN,1.002,0.987,0.941,1.002,0.996,0.971,1.001,1.427,1.001,0.098,0.962,1.427,0.11,0.985,0.999,1.073,NaN,1.046,1.038,1,0.973,0.999,0.975,0.999,1.001,1.046,NaN,1,1.018,NaN,1.015,NaN,0.971,0.999,0.978,1.044,NaN,1.121,1.151,1.001,NaN,1.041,NaN,1.006,0.999,0.908,0.999,1.019,0.999,1.111,1.427,1.013,0.984,0.999,0.958,1.001,NaN,1.016,0.954,0.756,1.004,1.427,0.831,0.923,0.942,0.999,0.94,0.907,1.087,1.423,1.061,NaN,1,0.999,0.868,1.001,NaN,0.979,1.001,1.427,0.994,1.142,0.974,NaN,1.016,NaN,1.001,NaN,1.009,NaN,1.03,0.999,0.966,0.995,0.999,1.062,NaN,0.977,0.981,1.031,1.102,0.973,0.893,1.012,1.033
94,0.877,1.099,0.876,0.708,1.052,1.16,1.541,1.163,1.849,0.996,NaN,0.992,1.065,0.985,0.942,1.017,0.996,NaN,1.281,1.054,0.926,1.01,1.176,1.029,0.575,1.195,0.997,1.686,1.299,1.408,1.892,0.677,NaN,0.917,0.26,0.996,NaN,0.99,1.022,0.988,1.131,1.091,1.052,1.048,1.039,0.998,1.057,1.289,0.998,NaN,1.127,0.997,1.039,0.439,0.157,0.868,0.946,0.959,1.312,1.257,0.991,1.083,0.993,NaN,1.053,0.997,1.664,1.679,0.681,0,1.02,1.008,2.492,2.213,0.997,1.195,1,0.996,0.639,NaN,1.017,0.98,0.997,0.996,NaN,1.022,0.971,0.166,0.773,0.46,1.068,0.959,0.91,0.988,1.025,0.992,0.996,NaN,0.997,0.126,1.021,NaN,0.064,1.098,0.997,0.725,0.046,1.066,1.035,0.997,1.453,1.021,1.293,0.997,0.99,0.709,0,0.999,0.813,NaN,0.804,0,1.235,1.053,1.003,0.724,0.535,0.868,0.996,0.906,NaN,0.88,0.35,1.016,0.997,1.322,1.762,1.043,0.997,0.86,0.841,1.03,1.251,1.004,1.027,0.937,NaN,1.017,1.011,0.074,0.955,NaN,1.066,1.045,1.26,1.907,0.962,1.043,0.909,0.841,0.826,0.793,0.987,0.911,0.916,0.868,NaN,1.541,0.997,NaN,1.054,0,1.036,NaN,0.941,NaN,0.934,NaN,0.689,NaN,0.892,0.997,0.986,1.033,0.997,0.751,0.149,1.057,0.992,0.909,0.92,0.916,0.246,1.005,0.896
96,1.081,0.943,1.146,1.39,0.863,0.919,0.911,0.989,1.207,1.001,NaN,0.946,1.015,0.96,0.466,0.994,1.001,NaN,1.013,1.042,1.08,1.077,0.971,1.044,0.251,1.214,1.011,1.018,1.008,0.986,1.043,0.928,NaN,1.127,1.455,1,0.259,1.153,1.068,1.001,0.901,0.867,1.015,0.668,1.015,0.981,0.73,0.988,1.037,0.657,1.01,1.001,0.918,2.156,0.149,1.09,1.441,1.161,1.252,1.226,0.997,0.972,0.995,NaN,1.118,1,0.925,0.884,1.047,0.988,0.999,0.994,1.009,0.983,0.994,1.003,1.014,1.001,0.976,NaN,1.002,1.053,1,1.001,NaN,0.696,0.754,0.14,1.125,1.399,1.017,0.945,0.943,0.989,1.176,1.07,0.998,0.911,0.931,0.099,1.069,0.487,0.048,0.971,1.011,1.063,1.373,0.958,1.068,1.001,1.016,1.028,1.156,1.008,0.973,0.887,0.889,1.001,0.899,0,0.978,0.718,0.927,1.048,0.876,1.282,1.405,1.339,1.01,0.984,0.025,1.015,1.219,1.089,1,0.939,0.988,0.969,1,1.202,1.455,1.005,0.993,1.028,0.859,0.996,NaN,1.035,0.977,1.112,0.952,0.816,0.974,1.091,0.975,1.046,0.986,1.089,0.968,0.999,1.108,1.282,0.991,0.99,0.819,0.923,NaN,0.909,0.955,0.126,0.846,0,0.994,NaN,0.991,NaN,0.987,NaN,0.87,0.027,1.057,1,1.011,1.101,1,1.156,1.56,1.246,1.201,0.987,1.023,0.884,0.504,1.04,1.019
97,1.06,0.963,0.968,0.8,0.99,0.94,1.006,0.852,1.025,1.007,NaN,0.904,1.006,0.87,0.571,1.038,1.007,NaN,0.979,1.006,1.172,1.297,0.886,1.006,1.072,0.886,1.007,0.984,1.006,0.898,1.009,1.004,NaN,1.046,NaN,1.009,2.195,1.105,1.438,0.974,0.804,0.796,1.006,0.872,1.032,1.012,0.951,0.971,1.006,2.318,0.95,1.006,1.07,0,0.249,1.08,NaN,0.987,1.3,1.237,1.031,1.354,1.007,NaN,0.967,1.006,1.043,1.008,1.003,NaN,0.952,0.984,0.856,1.078,1.001,0.965,1.006,1.007,0.971,NaN,0.96,1.035,1.007,1.007,NaN,0.983,0.958,0.126,1.097,NaN,1.027,1.006,0.956,1.008,1.074,1.169,1.015,1.125,0.897,0.101,1.117,2.41,0.032,1.058,1.008,1.033,NaN,1.111,1.008,1.007,1.172,1.006,1.158,1.008,0.989,1.017,NaN,1.004,1.025,NaN,1.009,NaN,1.043,1.006,1.046,0.977,NaN,1.045,1.206,0.998,NaN,1.02,NaN,0.779,1.006,0.945,1.008,1.02,1.006,1.073,NaN,1.028,1.019,1.006,1.088,1.006,NaN,1.048,0.964,0.607,1.02,1.562,0.713,1.122,0.9,1.009,1.076,1.439,1.037,0.675,1.122,0,1.006,0.982,0.715,1.001,NaN,0.97,1.016,1.963,1.008,0,0.974,NaN,0.989,NaN,0.997,NaN,1.007,NaN,1.043,1.014,0.836,1.029,1.01,1.039,NaN,1.089,0.874,1.093,1.261,0.972,0.629,1.018,1.021
99,1.045,0.996,1.02,1.082,1.016,0.817,0.998,0.783,0.982,1,NaN,1.002,1.004,0.907,0.905,0.942,1.002,NaN,0.945,1.005,1.147,1.109,0.904,1.002,0.308,0.978,1.025,0.972,1.006,0.818,0.991,0.913,0.916,1.041,1.052,0.995,0,1.026,1.135,0.739,0.954,0.887,1.004,1.022,0.996,1.008,1.072,1.004,1.002,NaN,0.939,1.004,0.952,0.142,0.066,1.107,1.352,1.004,1.04,0.99,1.005,0.967,1,NaN,0.941,1.004,0.972,1.009,1.035,0.934,0.813,0.768,0.858,0.966,0.941,1.013,1.006,0.765,0.968,0.932,0.964,1.058,1.058,1,NaN,1.092,1.083,0.067,1.052,NaN,0.945,1.002,0.973,0.999,1.042,1.197,0.977,0.083,0.575,0.073,1.017,NaN,0.032,1.029,1.012,1.06,0.834,0.85,1.054,1.044,1.052,1.003,1.11,1.012,0.984,1.033,0.995,1.011,1.013,NaN,1.027,0.839,0.934,1.027,1.017,1.001,0.667,1.089,1.1,1.001,1.918,1.054,1.204,0.975,1.004,0.863,0.95,1.029,1.008,1.082,1.142,1.012,0.989,1.003,1.037,1.003,NaN,1.006,0.753,0.774,0.895,0.011,0.699,0.979,0.806,0.994,0.986,0.816,1.08,1.09,1.071,0.862,0.998,0.926,0.793,0.999,NaN,0.943,0.985,0.002,0.955,0.02,0.686,NaN,1.019,NaN,1.009,NaN,1.009,NaN,1.052,1.022,0.572,1.044,1.029,1.051,0.933,1.044,1.074,1.044,0.928,0.912,0.05,1.012,1.035
