indicator,boreal,ecoz4,ecoz6,ecoz9,ecoz10,ecoz14,ecoz15,ecop4.3,ecop6.1,ecop6.2,ecop6.3,ecop6.5,ecop6.6,ecop9.1,ecop9.2,ecop9.3,ecop10.2,ecop14.4,ecop15.2,ecor64,ecor65,ecor88,ecor90,ecor91,ecor93,ecor94,ecor96,ecor97,ecor99,ecor100,ecor101,ecor103,ecor137,ecor138,ecor139,ecor142,ecor143,ecor145,ecor148,ecor149,ecor155,ecor156,ecor207,ecor217
ClimateMoisture,0.166,0.285,0.246,0.182,0,0.443,0.842,0.211,0.887,0.143,0.255,0.208,0.043,0.093,0.156,0.367,0,0.647,0.81,0.111,0.107,0.845,0.451,0.325,0.128,0.157,0.149,0.249,0.066,0.26,0.079,0.365,0.079,0.062,0.068,0.265,0.272,0.068,0.483,0.265,0.14,0,0.647,0.679
PrimaryProductivity,0.527,0.67,0.264,0.216,0,0.613,0.721,0.442,0.317,0.118,0.206,0.098,0.082,0.108,0.307,0.173,0,0.585,0.683,0.436,0.275,0.352,0.236,0.14,0.015,0.166,0.14,0.126,0.067,0.428,0.166,0.398,0.263,0.453,0.133,0.169,0.105,0.058,0.21,0.484,0.134,0,0.585,0.563
LandCover,0.409,0.533,0.23,0.229,0,0.326,0.402,0.287,0.4,0.103,0.199,0.065,0.056,0.063,0.272,0.162,0,0.47,0.342,0.338,0.382,0.402,0.178,0.115,0.098,0.126,0.099,0.101,0.073,0.287,0.133,0.328,0.065,0.411,0.133,0.217,0.2,0.074,0.215,0.492,0.175,0,0.47,0.23
LakeEdgeDensity,0.081,0.471,0.06,0.112,0,0.155,0.193,0.311,0.285,0.053,0.02,0.102,0.015,0.011,0.054,0.033,0,0.114,0.182,0.355,0.248,0.176,0.167,0.213,0.11,0.064,0.048,0.032,0.032,0.232,0.049,0.162,0.036,0.078,0.06,0.139,0.019,0.015,0.057,0.199,0.077,0,0.114,0.144
ALFL_CORE,1.321,0.375,1.117,1.705,NaN,21.413,1.255,0.372,0,1.241,1.431,1.474,1.115,1.184,0.766,0,NaN,7.627,1.119,0.184,1.032,0,1.774,1.571,1.315,0.708,1.39,0.8,1.082,1.095,1.089,2.03,0.187,0.854,0.955,0.253,1.905,1.083,0,0.117,NaN,NaN,7.627,1.122
AMCR_CORE,2.686,2.421,1.451,1.024,1,11.06,17.149,0.874,0.84,1.237,0.508,1.001,0.995,1.018,1.016,0.996,1,4.491,14.586,0.569,4.912,0.724,1.274,1.002,0.999,1.541,0.911,1.006,0.998,3.22,0.864,0.12,0.128,0.698,1.303,2.729,1,0.986,0.995,1.01,0.988,1,4.491,8.871
AMGO_CORE,2.551,6.737,1.512,0.676,1,9.245,30.218,2.366,0,1.348,0.438,0.996,0.995,0.334,0.817,1.027,1,5.211,25.147,0.863,6.996,0,1.269,1.002,0.99,1.849,1.207,1.025,0.982,4.138,0.858,0,0.008,0.263,1.395,3.382,0.19,0.345,1.046,1.014,0.988,1,5.211,14.551
AMPI_CORE,0.034,0,0.18,2.694,NaN,8.821,0,0.002,0,0,0.148,NaN,NaN,1.217,NaN,NaN,NaN,3.478,0,0,0.004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.246,0.436,0,NaN,NaN,NaN,NaN,1.025,NaN,NaN,NaN,NaN,3.478,NaN
AMRE_CORE,2.685,0.892,1.602,1.079,1,10.982,4.81,0.355,0.112,1.276,1.253,1.001,1.005,0.973,1.113,1.041,1,4.747,3.984,0.496,0.127,0.117,1.513,1.002,0.999,1.065,1.015,1.006,1.004,2.202,1.305,1.047,0.888,0.844,1.068,1.147,1,0.99,1.073,1.06,0.983,1,4.747,2.287
AMRO_CORE,0.712,0.023,0.858,1.096,1,11.228,0,0.093,0,0.642,0.282,0.739,0.837,0.986,0.42,0.144,1,4.484,0,0,3.185,0,0.014,0.555,1.384,0.942,0.466,0.571,0.905,0.118,0.835,0.941,0.364,0.189,1.155,NaN,0.999,1.002,0.054,0.042,0.167,1,4.484,0
ATSP_CORE,0,0,0,NaN,NaN,0.247,0,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0.175,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.175,NaN
BAWW_CORE,2.387,2.411,1.33,0.905,1,0,4.327,0.893,2.546,1.169,1.666,1.001,1.004,1.049,1.139,0.952,1,0,3.583,0.837,0.095,2.639,1,1.002,0.999,1.054,1.042,1.006,1.005,3.325,1.111,1.272,1.411,1.262,1.087,0.997,1.039,0.887,1,1.085,0.907,1,0,2.057
BBWA_CORE,2.561,6.118,1.397,1.001,1,NaN,4.354,2.194,2.167,1.179,1.607,1.283,1.166,1.31,1.413,0.822,1,NaN,3.604,2.039,0.077,1.994,1.026,1.405,1.115,1.01,1.077,1.297,1.109,3.007,1.385,2.69,1.934,2.665,1.047,0.988,0,1.374,0.963,4.994,0.764,1,NaN,2.07
